px_est	py_est	vel_abs_est	yaw_angle_est	yaw_rate_est	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	nis_lidar	nis_radar
7.597699652038099	-5.260950993706397	-0.905210894557135	15.506501518504322	0.43345744279778076	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	21.53301827642756	37.5881887832718
8.08044941437731	-5.6304280962725946	-1.3857973714446041	14.9542388101366	-0.3643731023997102	7.29446389991347	-5.234290235787386	7.4	-5.3	0.908194	-2.7246	21.53301827642756	25.47632298950316
7.647273145539115	-5.652076919815164	-0.46944358888224225	14.48025156436517	-0.6296995450180651	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	15.705579183415882	25.47632298950316
8.065594884249299	-6.0504813166660565	-1.2821005624153894	15.248410440883529	0.37994549658565013	7.63081876148898	-5.6186271872502624	7.55	-5.55	1.81974	-1.81974	15.705579183415882	36.74050482547303
7.872080726692264	-5.75997594120362	-0.4441214184531317	15.515606006498533	0.4893170990336068	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	12.497011165028946	36.74050482547303
8.298719877948097	-6.049300025470999	-1.2563355888755452	14.934870099313146	-0.2297448848806502	7.60376173645969	-5.747738130217096	7.7	-5.8	0.90983	-2.72951	12.497011165028946	32.77375222573769
7.8913148660080426	-6.0975295412937855	-0.5407936113703516	14.505086670627398	-0.4571816825515333	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	10.001080200095238	32.77375222573769
8.489152005501342	-6.591624160837223	-1.796511596236122	15.691002446482196	0.793672611258734	7.8216515224358565	-6.068216677614345	7.85	-6.1	1.9986	-2.9979	10.001080200095238	66.52917171699804
8.29275959234584	-6.232193951828052	-0.9833783598952445	16.340299919377475	1.117165051486504	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	19.15603238631611	66.52917171699804
8.773702215423071	-6.656047213349037	-0.22120132972701168	15.207569881990802	-0.5258093109223716	8.173384754653283	-6.446844163030568	8.05	-6.35	1.81738	-1.81739	19.15603238631611	32.96403880848519
8.300042051406685	-6.522601231110785	0.43855790663794236	15.183128466043485	-0.4178164651446506	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	5.256394769735601	32.96403880848519
8.714003430446828	-6.767018395536254	-0.9700129624962549	15.096140138587115	-0.4391945383491094	8.086281064851725	-6.518545910724295	8.2	-6.6	0.909293	-2.72787	5.256394769735601	40.8343161796827
8.395379188682536	-6.804044109924284	-0.5186602237416945	14.213170031280356	-0.8032426471127649	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	5.448466852753336	40.8343161796827
8.964730980646825	-7.021302697201232	-0.9319073633012787	16.037395251804533	0.7332650714114546	8.256474872340418	-6.781215906635866	8.35	-6.85	1.81994	-1.81993	5.448466852753336	40.935293410387665
8.736755334586729	-6.88731780834375	-0.14133343909085638	16.437963074533265	0.9592733380218776	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	12.165376551469276	40.935293410387665
8.465548818418675	-7.267199540057727	0.8778252004236193	15.88469144984744	0.12451869193196119	8.393593531518931	-7.0174294430114195	8.5	-7.1	1.00006	-3.00018	12.165376551469276	61.75071811183901
8.468635138242922	-7.2365531443618005	0.5415361380367918	16.028288402029563	0.19509628795868467	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.4590590907997576	61.75071811183901
9.093243417887004	-8.073225364833679	-0.35992038090447964	19.421739689521182	2.2103593954989225	8.644029612415014	-7.39047071232221	8.65	-7.4	1.99807	-2.99712	1.4590590907997576	66.09354745091402
8.794175032291358	-7.751954768703748	-0.1661699836839627	19.536463793392837	1.8256075494925508	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	6.857522875982783	66.09354745091402
